transcript_id	gene_id
FBtr0070974	Dmel_CG3075
FBtr0070978	Dmel_CG3135
FBtr0070979	Dmel_CR32740
FBtr0070980	Dmel_CG3203
FBtr0070981	Dmel_CG3203
FBtr0070982	Dmel_CG3203
FBtr0070983	Dmel_CG3203
FBtr0070984	Dmel_CG3168
FBtr0070985	Dmel_CG3168
FBtr0070986	Dmel_CG3168
FBtr0070987	Dmel_CG14440
FBtr0070988	Dmel_CG14442
FBtr0070989	Dmel_CG3184
FBtr0070990	Dmel_CG3192
FBtr0070991	Dmel_CG3198
FBtr0070992	Dmel_CG3224
FBtr0070993	Dmel_CG3226
FBtr0070994	Dmel_CG4557
FBtr0070995	Dmel_CG4558
FBtr0071003	Dmel_CG4586
FBtr0071004	Dmel_CG14430
FBtr0071005	Dmel_CG4590
FBtr0071006	Dmel_CG4590
FBtr0071007	Dmel_CG32736
FBtr0071008	Dmel_CG32736
FBtr0071009	Dmel_CG4593
FBtr0071010	Dmel_CG14427
FBtr0071013	Dmel_CG4607
FBtr0071014	Dmel_CG4607
FBtr0071015	Dmel_CG8300
FBtr0071016	Dmel_CR32730
FBtr0071017	Dmel_CG4626
FBtr0071018	Dmel_CG4626
FBtr0071019	Dmel_CG4617
FBtr0071020	Dmel_CG4615
FBtr0071032	Dmel_CG3032
FBtr0071033	Dmel_CG3035
FBtr0071035	Dmel_CG2977
FBtr0071036	Dmel_CG3039
FBtr0071037	Dmel_CG3039
FBtr0071038	Dmel_CG3040
FBtr0071039	Dmel_CG32732
FBtr0071040	Dmel_CG14434
FBtr0071041	Dmel_CG3044
FBtr0071042	Dmel_CG14435
FBtr0071046	Dmel_CG1958
FBtr0071047	Dmel_CG2059
FBtr0071048	Dmel_CG9653
FBtr0071049	Dmel_CG2079
FBtr0071051	Dmel_CG18155
FBtr0071052	Dmel_CG1435
